ensemble_size, batch_size, trial_num, predict (ms)
900,64,7,0.742826
900,64,8,0.733555
900,64,9,0.732716
900,64,10,0.731946
900,64,11,0.734486
900,64,12,0.730505
900,64,13,0.730795
900,64,14,0.724206
900,64,15,0.715665
900,64,16,0.734176
900,64,17,0.724275
900,64,18,0.735646
900,64,19,0.726105
900,64,20,0.728775
900,64,21,0.728536
900,64,22,0.737256
900,64,23,0.721885
900,64,24,0.718646
900,64,25,0.721405
900,64,26,0.737366
900,64,27,0.723255
900,64,28,0.720196
900,64,29,0.735735
900,64,30,0.719986
900,64,31,0.726925
900,64,32,0.731266
900,64,33,0.725886
900,64,34,0.727475
900,64,35,0.727696
900,64,36,0.734176
900,64,37,0.722575
900,64,38,0.719675
900,64,39,0.717256
900,64,40,0.721455
900,64,41,0.725335
900,64,42,0.727856
900,64,43,0.731546
900,64,44,0.724775
900,64,45,0.715706
900,64,46,0.718065
900,64,47,0.734236
900,64,48,0.722745
900,64,49,0.732426
900,100,0,0.986024
900,100,1,0.832659
900,100,2,0.845389
900,100,3,0.828249
900,100,4,0.810778
900,100,5,0.806589
900,100,6,0.807978
900,100,7,0.818799
900,100,8,0.815049
900,100,9,0.819429
900,100,10,0.812429
900,100,11,0.816539
900,100,12,0.801948
900,100,13,0.823739
900,100,14,0.809458
900,100,15,0.806779
900,100,16,0.799468
900,100,17,0.798258
900,100,18,0.813389
900,100,19,0.809008
900,100,20,0.809759
900,100,21,0.810018
900,100,22,0.804428
900,100,23,0.816579
900,100,24,0.815149
900,100,25,0.805028
900,100,26,0.814039
900,100,27,0.806878
900,100,28,0.801678
900,100,29,0.807989
900,100,30,0.813769
900,100,31,0.808078
900,100,32,0.805548
900,100,33,0.798289
900,100,34,0.806039
900,100,35,0.808448
900,100,36,0.84125
900,100,37,0.808788
900,100,38,0.808239
900,100,39,0.806668
900,100,40,0.807038
900,100,41,0.903701
900,100,42,0.83749
900,100,43,1.10297
900,100,44,1.09703
900,100,45,9.17438
900,100,46,0.989145
900,100,47,0.816249
900,100,48,0.813699
900,100,49,0.806818
900,200,0,0.976325
900,200,1,0.932693
900,200,2,0.925982
900,200,3,0.929623
900,200,4,0.924622
900,200,5,0.925692
900,200,6,0.924723
900,200,7,0.919972
900,200,8,0.924522
900,200,9,0.922452
900,200,10,0.925273
900,200,11,0.923902
900,200,12,0.916922
900,200,13,0.945484
900,200,14,1.22457
900,200,15,1.21735
900,200,16,1.21706
900,200,17,1.21212
900,200,18,1.00582
900,200,19,0.926703
900,200,20,0.926823
900,200,21,0.931373
900,200,22,0.923553
900,200,23,0.924132
900,200,24,0.921413
900,200,25,0.923812
900,200,26,0.922963
900,200,27,0.922352
900,200,28,0.920423
900,200,29,0.916322
900,200,30,0.924592
900,200,31,0.923893
900,200,32,0.924682
900,200,33,0.921063
900,200,34,0.921112
900,200,35,0.920993
900,200,36,0.916442
900,200,37,0.922132
900,200,38,0.921303
900,200,39,0.924522
900,200,40,0.923203
900,200,41,0.918052
900,200,42,0.959464
900,200,43,1.21156
900,200,44,1.20704
900,200,45,1.21447
900,200,46,1.2098
900,200,47,0.998345
900,200,48,0.920773
900,200,49,0.920532
900,400,0,1.26209
900,400,1,1.02263
900,400,2,1.006
900,400,3,1.01452
900,400,4,1.00905
900,400,5,0.993065
900,400,6,1.00078
900,400,7,0.993125
900,400,8,0.998495
900,400,9,0.989144
900,400,10,0.979925
900,400,11,0.997145
900,400,12,0.985015
900,400,13,0.992175
900,400,14,0.995325
900,400,15,0.997596
900,400,16,0.985815
900,400,17,0.984985
900,400,18,1.16542
900,400,19,1.27549
900,400,20,1.29023
900,400,21,1.26699
900,400,22,1.14931
900,400,23,1.0044
900,400,24,1.00402
900,400,25,0.992155
900,400,26,0.997385
900,400,27,0.997975
900,400,28,1.00598
900,400,29,1.03053
900,400,30,1.10253
900,400,31,1.04089
900,400,32,11.9951
900,400,33,1.21279
900,400,34,1.37854
900,400,35,1.32979
900,400,36,1.33317
900,400,37,1.25895
900,400,38,1.16102
900,400,39,1.10843
900,400,40,1.14696
900,400,41,1.00721
