ensemble_size,batch_size,trial_num,predict_ms,optimised
999,1,0,0.2766130492091179,False
999,1,1,0.2159029245376587,False
999,1,2,0.20662229508161545,False
999,1,3,0.20608212798833847,False
999,1,4,0.20103156566619873,False
999,1,5,0.2028234302997589,False
999,1,6,0.2080025151371956,False
999,1,7,0.20189210772514343,False
999,1,8,0.19987300038337708,False
999,1,9,0.19815191626548767,False
999,1,10,0.2011321485042572,False
999,1,11,0.20103342831134796,False
999,1,12,0.19786134362220764,False
999,1,13,0.19648298621177673,False
999,1,14,0.19704177975654602,False
999,1,15,0.2023233100771904,False
999,1,16,0.21043326705694199,False
999,1,17,0.19979383796453476,False
999,1,18,0.19754189997911453,False
999,1,19,0.19644293934106827,False
999,1,20,0.19814260303974152,False
999,1,21,0.19937288016080856,False
999,1,22,0.19635260105133057,False
999,1,23,0.19671209156513214,False
999,1,24,0.19644293934106827,False
999,1,25,0.19724201411008835,False
999,1,26,0.19787345081567764,False
999,1,27,0.19524339586496353,False
999,1,28,0.19592233002185822,False
999,1,29,0.19558239728212357,False
999,1,30,0.1993216574192047,False
999,1,31,0.19727274775505066,False
999,1,32,0.1965416595339775,False
999,1,33,0.19515212625265121,False
999,1,34,0.19549299031496048,False
999,1,35,0.1967819407582283,False
999,1,36,0.19822362810373306,False
999,1,37,0.19531138241291046,False
999,1,38,0.19546318799257278,False
999,1,39,0.195222906768322,False
999,1,40,0.19644200801849365,False
999,1,41,0.19700359553098679,False
999,1,42,0.1954212784767151,False
999,1,43,0.19482336938381195,False
999,1,44,0.19751302897930145,False
999,1,45,0.19633211195468903,False
999,1,46,0.19739288836717606,False
999,1,47,0.19593164324760437,False
999,1,48,0.19571278244256973,False
999,1,49,0.19522197544574738,False
999,2,0,16.07569120824337,False
999,2,1,0.23927446454763412,False
999,2,2,0.21599233150482178,False
999,2,3,0.20635314285755157,False
999,2,4,0.20677316933870316,False
999,2,5,0.2031233161687851,False
999,2,6,0.20824186503887177,False
999,2,7,0.20008347928524017,False
999,2,8,0.19907299429178238,False
999,2,9,0.19996240735054016,False
999,2,10,0.20085275173187256,False
999,2,11,0.2031531184911728,False
999,2,12,0.1989118754863739,False
999,2,13,0.19973330199718475,False
999,2,14,0.19964203238487244,False
999,2,15,0.20038243383169174,False
999,2,16,0.20094309002161026,False
999,2,17,0.19849184900522232,False
999,2,18,0.19916240125894547,False
999,2,19,0.19835308194160461,False
999,2,20,0.1994716003537178,False
999,2,21,0.20008254796266556,False
999,2,22,0.1989714801311493,False
999,2,23,0.1978231593966484,False
999,2,24,0.2017524093389511,False
999,2,25,0.19934214651584625,False
999,2,26,0.1994529739022255,False
999,2,27,0.1977328211069107,False
999,2,28,0.19720196723937988,False
999,2,29,0.19710324704647064,False
999,2,30,0.1986222341656685,False
999,2,31,0.19961316138505936,False
999,2,32,0.1977328211069107,False
999,2,33,0.19682198762893677,False
999,2,34,0.1971134915947914,False
999,2,35,0.1976415514945984,False
999,2,36,0.19940268248319626,False
999,2,37,0.19974354654550552,False
999,2,38,0.19719265401363373,False
999,2,39,0.19716285169124603,False
999,2,40,0.19852165132761002,False
999,2,41,0.19972212612628937,False
999,2,42,0.19795261323451996,False
999,2,43,0.1973714679479599,False
999,2,44,0.19701290875673294,False
999,2,45,0.19835215061903,False
999,2,46,0.19916333258152008,False
999,2,47,0.19777286797761917,False
999,2,48,0.19750185310840607,False
999,2,49,0.19728299230337143,False
999,4,0,0.23783277720212936,False
999,4,1,0.21236296743154526,False
999,4,2,0.20683184266090393,False
999,4,3,0.20471308380365372,False
999,4,4,0.20542368292808533,False
999,4,5,0.2056928351521492,False
999,4,6,0.20340178161859512,False
999,4,7,0.2023531123995781,False
999,4,8,0.20213332027196884,False
999,4,9,0.2040015533566475,False
999,4,10,0.20478293299674988,False
999,4,11,0.2028830349445343,False
999,4,12,0.2029919996857643,False
999,4,13,0.20203273743391037,False
999,4,14,0.20345300436019897,False
999,4,15,0.20434241741895676,False
999,4,16,0.2023531123995781,False
999,4,17,0.2007531002163887,False
999,4,18,0.20151212811470032,False
999,4,19,0.2019330859184265,False
999,4,20,0.20423252135515213,False
999,4,21,0.20182225853204727,False
999,4,22,0.20186323672533035,False
999,4,23,0.20120292901992798,False
999,4,24,0.2039726823568344,False
999,4,25,0.20328350365161896,False
999,4,26,0.20246300846338272,False
999,4,27,0.20226184278726578,False
999,4,28,0.20163320004940033,False
999,4,29,0.20254310220479965,False
999,4,30,0.20380225032567978,False
999,4,31,0.20222272723913193,False
999,4,32,0.20158197730779648,False
999,4,33,0.20181294530630112,False
999,4,34,0.20289327949285507,False
999,4,35,0.20386278629302979,False
999,4,36,0.2016918733716011,False
999,4,37,0.2016127109527588,False
999,4,38,0.20126346498727798,False
999,4,39,0.20173192024230957,False
999,4,40,0.20389258861541748,False
999,4,41,0.2019135281443596,False
999,4,42,0.20162202417850494,False
999,4,43,0.20142272114753723,False
999,4,44,0.2021724358201027,False
999,4,45,0.20385254174470901,False
999,4,46,0.20103249698877335,False
999,4,47,0.20148232579231262,False
999,4,48,0.2005426213145256,False
999,4,49,0.2079429104924202,False
999,8,0,0.23488420993089676,False
999,8,1,0.2137618139386177,False
999,8,2,0.2098623663187027,False
999,8,3,0.2085929736495018,False
999,8,4,0.20882301032543182,False
999,8,5,0.20973291248083115,False
999,8,6,0.2167820930480957,False
999,8,7,0.2078833058476448,False
999,8,8,0.2081533893942833,False
999,8,9,0.20636245608329773,False
999,8,10,0.20978134125471115,False
999,8,11,0.20559318363666534,False
999,8,12,0.2067331224679947,False
999,8,13,0.20778179168701172,False
999,8,14,0.20574312657117844,False
999,8,15,0.20515359938144684,False
999,8,16,0.20629167556762695,False
999,8,17,0.20589306950569153,False
999,8,18,0.20801275968551636,False
999,8,19,0.20568352192640305,False
999,8,20,0.20571239292621613,False
999,8,21,0.20543299615383148,False
999,8,22,0.20646210759878159,False
999,8,23,0.20807329565286636,False
999,8,24,0.20532216876745224,False
999,8,25,0.20547304302453995,False
999,8,26,0.2049533650279045,False
999,8,27,0.2061622217297554,False
999,8,28,0.20713359117507935,False
999,8,29,0.2056928351521492,False
999,8,30,0.20517315715551376,False
999,8,31,0.20485185086727142,False
999,8,32,0.21166261285543442,False
999,8,33,0.20660273730754852,False
999,8,34,0.20473171025514603,False
999,8,35,0.20515359938144684,False
999,8,36,0.20760297775268555,False
999,8,37,0.20694267004728317,False
999,8,38,0.20606163889169693,False
999,8,39,0.20494312047958374,False
999,8,40,0.20544324070215225,False
999,8,41,0.20666327327489853,False
999,8,42,0.20790193229913712,False
999,8,43,0.20639318972826004,False
999,8,44,0.20491238683462143,False
999,8,45,0.2051517367362976,False
999,8,46,0.20656362175941467,False
999,8,47,0.2071727067232132,False
999,8,48,0.2059219405055046,False
999,8,49,0.20607374608516693,False
999,16,0,0.2576131373643875,False
999,16,1,0.2215532585978508,False
999,16,2,0.21405238658189774,False
999,16,3,0.21059159189462662,False
999,16,4,0.209832563996315,False
999,16,5,0.2111326903104782,False
999,16,6,0.21224282681941986,False
999,16,7,0.20955316722393036,False
999,16,8,0.2096826210618019,False
999,16,9,0.20917225629091263,False
999,16,10,0.21150242537260056,False
999,16,11,0.21079275757074356,False
