Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.0,259660004,11,23605454.9,7462880.0,941,185656802,54768134.8,poll
24.0,86365696,496,174124.4,8636.0,521,11633404,748226.5,ioctl
1.9,6688239,496,13484.4,1092.0,831,3102112,154836.3,read
1.2,4441198,1,4441198.0,4441198.0,4441198,4441198,0.0,fopen64
0.5,1874917,25,74996.7,6201.0,3597,1356007,268700.5,mmap64
0.1,342928,9,38103.1,38361.0,33152,47168,5108.5,sem_timedwait
0.1,249015,43,5791.0,5250.0,3316,13735,1919.9,open64
0.1,209633,40,5240.8,3571.5,1803,20398,4101.3,fopen
0.0,136145,3,45381.7,38362.0,31549,66234,18377.1,pthread_create
0.0,131132,13,10087.1,4719.0,1753,73216,19126.1,mmap
0.0,80754,34,2375.1,871.5,711,44082,7394.4,fclose
0.0,62597,1,62597.0,62597.0,62597,62597,0.0,pthread_cond_wait
0.0,56555,50,1131.1,30.0,20,55163,7797.2,fgets
0.0,41186,57,722.6,671.0,460,2074,282.8,fcntl
0.0,36538,6,6089.7,5766.0,3095,9768,2205.8,open
0.0,19705,11,1791.4,1833.0,561,2705,607.7,write
0.0,17362,3,5787.3,6973.0,2765,7624,2637.6,pipe2
0.0,17143,2,8571.5,8571.5,4128,13015,6284.1,socket
0.0,12493,3,4164.3,4468.0,3186,4839,867.3,munmap
0.0,10359,1,10359.0,10359.0,10359,10359,0.0,connect
0.0,6923,3,2307.7,2104.0,1433,3386,992.3,pthread_cond_broadcast
0.0,4640,2,2320.0,2320.0,1874,2766,630.7,fwrite
0.0,4608,7,658.3,551.0,511,1272,272.0,dup
0.0,2976,1,2976.0,2976.0,2976,2976,0.0,bind
0.0,1072,1,1072.0,1072.0,1072,1072,0.0,listen
0.0,280,10,28.0,30.0,20,50,9.2,fflush
