Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.2,255070980,11,23188270.9,6747626.0,1423,183451630,54183121.2,poll
23.9,84221378,496,169801.2,8576.0,501,12099852,721169.2,ioctl
2.6,9251177,496,18651.6,1733.0,932,7403509,334935.6,read
0.5,1866025,25,74641.0,5690.0,3527,1362059,270063.2,mmap64
0.3,1206839,1,1206839.0,1206839.0,1206839,1206839,0.0,fopen64
0.1,399355,9,44372.8,34725.0,23624,115946,28368.6,sem_timedwait
0.1,237777,43,5529.7,5049.0,3176,14026,1814.5,open64
0.1,204716,40,5117.9,3417.0,1823,21911,4302.8,fopen
0.0,133690,13,10283.8,4398.0,1663,72916,19014.9,mmap
0.0,112219,3,37406.3,32110.0,27341,52768,13515.6,pthread_create
0.0,81184,34,2387.8,847.0,691,44764,7519.7,fclose
0.0,69179,1,69179.0,69179.0,69179,69179,0.0,pthread_cond_wait
0.0,57699,50,1154.0,30.0,20,56255,7951.5,fgets
0.0,38991,57,684.1,621.0,431,2244,285.1,fcntl
0.0,30938,6,5156.3,5039.5,3156,8366,1793.5,open
0.0,19948,11,1813.5,1653.0,622,2906,631.4,write
0.0,16600,2,8300.0,8300.0,3656,12944,6567.6,socket
0.0,15359,3,5119.7,6432.0,2475,6452,2290.4,pipe2
0.0,12133,3,4044.3,4599.0,2925,4609,969.4,munmap
0.0,10069,1,10069.0,10069.0,10069,10069,0.0,connect
0.0,6833,3,2277.7,1883.0,1193,3757,1326.8,pthread_cond_broadcast
0.0,4568,7,652.6,581.0,491,972,181.3,dup
0.0,4128,2,2064.0,2064.0,1673,2455,553.0,fwrite
0.0,3006,1,3006.0,3006.0,3006,3006,0.0,bind
0.0,1001,1,1001.0,1001.0,1001,1001,0.0,listen
0.0,331,10,33.1,25.5,20,110,27.5,fflush
