Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.8,87665597,6,14610932.8,531.0,260,87662982,35788049.0,cudaEventCreate
0.7,662485,3,220828.3,107761.0,7664,547060,286923.6,cudaMemcpy
0.1,119933,3,39977.7,48270.0,3416,68247,33201.5,cudaMalloc
0.1,108983,3,36327.7,46537.0,4268,58178,28368.0,cudaFree
0.1,79929,2,39964.5,39964.5,3126,76803,52097.5,cudaEventSynchronize
0.1,55393,1,55393.0,55393.0,55393,55393,0.0,cudaLaunchKernel
0.0,18213,6,3035.5,1598.0,1112,10529,3687.7,cudaEventRecord
0.0,2904,6,484.0,345.5,220,1102,331.4,cudaEventDestroy
0.0,1773,1,1773.0,1773.0,1773,1773,0.0,cuModuleGetLoadingMode
