Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
1.525,2,0.762,0.762,0.002,1.522,1.075,[CUDA memcpy Host-to-Device]
0.256,1,0.256,0.256,0.256,0.256,0.000,[CUDA memcpy Device-to-Host]
