Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
12.787,1,12.787,12.787,12.787,12.787,0.000,[CUDA memcpy Device-to-Host]
1.638,2,0.819,0.819,0.115,1.522,0.995,[CUDA memcpy Host-to-Device]
