Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.6,267904911,11,24354991.9,7563007.0,1042,186760327,54973296.2,poll
25.4,93827760,496,189168.9,8661.0,521,13714271,920361.8,ioctl
0.7,2633137,496,5308.7,1764.0,792,1060186,55719.1,read
0.5,1896215,25,75848.6,6863.0,3957,1375644,272631.1,mmap64
0.4,1319520,1,1319520.0,1319520.0,1319520,1319520,0.0,fopen64
0.1,335548,9,37283.1,40466.0,27071,45435,6302.2,sem_timedwait
0.1,245909,43,5718.8,5651.0,3347,10159,1382.5,open64
0.1,208291,40,5207.3,3471.5,1824,20679,4010.3,fopen
0.0,131356,13,10104.3,4198.0,1763,73257,19179.2,mmap
0.0,123786,34,3640.8,906.5,731,86702,14690.1,fclose
0.0,122128,3,40709.3,34514.0,31649,55965,13289.2,pthread_create
0.0,84848,1,84848.0,84848.0,84848,84848,0.0,pthread_cond_wait
0.0,56846,50,1136.9,30.0,20,55444,7836.9,fgets
0.0,39081,57,685.6,651.0,481,1854,194.0,fcntl
0.0,33924,6,5654.0,5525.5,3166,10018,2380.9,open
0.0,19456,11,1768.7,1763.0,631,2455,510.0,write
0.0,17673,2,8836.5,8836.5,4168,13505,6602.3,socket
0.0,15508,3,5169.3,6031.0,2775,6702,2100.5,pipe2
0.0,12052,1,12052.0,12052.0,12052,12052,0.0,connect
0.0,11561,3,3853.7,3977.0,3196,4388,605.5,munmap
0.0,7715,3,2571.7,1764.0,1152,4799,1953.0,pthread_cond_broadcast
0.0,4457,7,636.7,591.0,490,1092,214.8,dup
0.0,4058,2,2029.0,2029.0,1713,2345,446.9,fwrite
0.0,3046,1,3046.0,3046.0,3046,3046,0.0,bind
0.0,1082,1,1082.0,1082.0,1082,1082,0.0,listen
0.0,312,10,31.2,25.5,20,91,21.6,fflush
