Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
75.4,294731645,12,24560970.4,7495350.5,982,193996387,54518393.3,poll
22.9,89414242,501,178471.5,8826.0,531,12089152,810175.8,ioctl
0.5,2141578,496,4317.7,1673.0,451,738106,40725.4,read
0.5,1863374,25,74535.0,6191.0,3646,1357170,268887.7,mmap64
0.3,1210145,1,1210145.0,1210145.0,1210145,1210145,0.0,fopen64
0.1,331869,9,36874.3,34213.0,10530,58559,15323.5,sem_timedwait
0.1,243042,43,5652.1,5350.0,3327,10770,1448.6,open64
0.1,218748,40,5468.7,3616.5,1864,21761,4392.7,fopen
0.0,132257,14,9446.9,3386.5,1823,74258,18893.5,mmap
0.0,130524,3,43508.0,40746.0,39113,50665,6251.7,pthread_create
0.0,75981,34,2234.7,916.5,722,38311,6404.1,fclose
0.0,58678,50,1173.6,30.0,20,57197,8084.6,fgets
0.0,55163,1,55163.0,55163.0,55163,55163,0.0,pthread_cond_wait
0.0,38392,57,673.5,631.0,461,1422,187.0,fcntl
0.0,36778,6,6129.7,5495.0,3326,12684,3347.1,open
0.0,24665,5,4933.0,3847.0,3757,8776,2169.9,munmap
0.0,19015,2,9507.5,9507.5,4147,14868,7580.9,socket
0.0,17482,3,5827.3,6983.0,2805,7694,2641.4,pipe2
0.0,14186,1,14186.0,14186.0,14186,14186,0.0,connect
0.0,13645,11,1240.5,1152.0,702,2785,618.2,write
0.0,5570,3,1856.7,1222.0,1102,3246,1204.7,pthread_cond_broadcast
0.0,4640,7,662.9,551.0,481,1042,200.1,dup
0.0,3788,2,1894.0,1894.0,1674,2114,311.1,fwrite
0.0,3056,1,3056.0,3056.0,3056,3056,0.0,bind
0.0,1001,1,1001.0,1001.0,1001,1001,0.0,listen
0.0,321,10,32.1,20.0,20,131,34.9,fflush
