Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.8,257631434,11,23421039.5,7333209.0,1392,181023456,53333139.4,poll
25.2,89240688,496,179920.7,8561.0,531,11745473,832271.8,ioctl
0.6,2206384,496,4448.4,1643.0,852,730392,42946.0,read
0.5,1865178,25,74607.1,6312.0,3386,1355727,268711.3,mmap64
0.4,1565829,1,1565829.0,1565829.0,1565829,1565829,0.0,fopen64
0.1,295361,9,32817.9,32140.0,22071,51356,9797.4,sem_timedwait
0.1,234351,43,5450.0,5120.0,3386,9167,1249.5,open64
0.1,207817,40,5195.4,3526.5,1833,21560,3951.8,fopen
0.0,135732,3,45244.0,37820.0,36297,61615,14198.1,pthread_create
0.0,127059,13,9773.8,4158.0,1844,72555,19003.2,mmap
0.0,103753,1,103753.0,103753.0,103753,103753,0.0,pthread_cond_wait
0.0,85457,34,2513.4,912.0,751,47559,7984.8,fclose
0.0,57339,50,1146.8,30.0,20,55925,7904.9,fgets
0.0,42510,57,745.8,631.0,461,4729,570.8,fcntl
0.0,33784,6,5630.7,5495.5,3156,9578,2183.1,open
0.0,16892,2,8446.0,8446.0,4098,12794,6149.0,socket
0.0,15430,3,5143.3,6412.0,2425,6593,2355.9,pipe2
0.0,13766,11,1251.5,1143.0,601,2545,594.9,write
0.0,11421,1,11421.0,11421.0,11421,11421,0.0,connect
0.0,10659,3,3553.0,3777.0,2885,3997,588.9,munmap
0.0,7634,3,2544.7,1633.0,1152,4849,2010.1,pthread_cond_broadcast
0.0,4508,2,2254.0,2254.0,1673,2835,821.7,fwrite
0.0,4188,7,598.3,541.0,481,942,164.7,dup
0.0,2906,1,2906.0,2906.0,2906,2906,0.0,bind
0.0,1082,1,1082.0,1082.0,1082,1082,0.0,listen
0.0,310,10,31.0,20.0,20,110,28.1,fflush
