Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
1.523,2,0.761,0.761,0.000,1.522,1.077,[CUDA memcpy Host-to-Device]
0.004,1,0.004,0.004,0.004,0.004,0.000,[CUDA memcpy Device-to-Host]
