Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.4,92005205,6,15334200.8,421.0,280,92003142,37559957.0,cudaEventCreate
1.2,1151467,3,383822.3,105857.0,8346,1037264,567993.5,cudaMemcpy
0.1,113100,3,37700.0,44142.0,4628,64330,30367.9,cudaFree
0.1,107159,3,35719.7,45575.0,2835,58749,29230.8,cudaMalloc
0.1,79137,2,39568.5,39568.5,3046,76091,51650.6,cudaEventSynchronize
0.1,55053,1,55053.0,55053.0,55053,55053,0.0,cudaLaunchKernel
0.0,18204,6,3034.0,1522.5,1203,10349,3602.3,cudaEventRecord
0.0,2614,6,435.7,335.5,200,931,285.4,cudaEventDestroy
0.0,1924,1,1924.0,1924.0,1924,1924,0.0,cuModuleGetLoadingMode
