Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
3.197,1,3.197,3.197,3.197,3.197,0.000,[CUDA memcpy Device-to-Host]
1.551,2,0.776,0.776,0.029,1.522,1.056,[CUDA memcpy Host-to-Device]
