Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
79.1,117505,2,58752.5,58752.5,864,116641,81866.7,[CUDA memcpy Host-to-Device]
20.9,31072,1,31072.0,31072.0,31072,31072,0.0,[CUDA memcpy Device-to-Host]
