Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
98.3,117505,2,58752.5,58752.5,736,116769,82047.7,[CUDA memcpy Host-to-Device]
1.7,1984,1,1984.0,1984.0,1984,1984,0.0,[CUDA memcpy Device-to-Host]
