Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.2,264236794,11,24021526.7,7116344.0,1773,187419908,55223737.5,poll
24.8,89378054,496,180197.7,8801.5,541,11652759,821012.6,ioctl
0.7,2446372,496,4932.2,1663.0,411,1013148,52084.2,read
0.5,1919800,25,76792.0,5831.0,3616,1357971,269356.2,mmap64
0.5,1653713,1,1653713.0,1653713.0,1653713,1653713,0.0,fopen64
0.1,254703,43,5923.3,5330.0,3416,13174,2059.2,open64
0.1,219630,9,24403.3,18966.0,10499,48981,15099.2,sem_timedwait
0.1,208611,40,5215.3,3572.0,1884,20348,3929.9,fopen
0.0,163744,13,12595.7,4699.0,1743,103383,27420.8,mmap
0.0,114744,3,38248.0,33252.0,27852,53640,13600.6,pthread_create
0.0,84247,1,84247.0,84247.0,84247,84247,0.0,pthread_cond_wait
0.0,66779,34,1964.1,851.0,741,29995,4991.1,fclose
0.0,58799,50,1176.0,30.0,20,57327,8103.0,fgets
0.0,39377,57,690.8,641.0,441,1463,208.8,fcntl
0.0,32352,6,5392.0,5320.5,3216,8576,1816.1,open
0.0,17934,2,8967.0,8967.0,4158,13776,6801.0,socket
0.0,17583,3,5861.0,6602.0,2865,8116,2702.8,pipe2
0.0,14610,11,1328.2,1303.0,551,2364,567.5,write
0.0,14317,3,4772.3,3937.0,3186,7194,2130.6,munmap
0.0,10249,1,10249.0,10249.0,10249,10249,0.0,connect
0.0,7965,3,2655.0,1994.0,1292,4679,1787.6,pthread_cond_broadcast
0.0,4478,7,639.7,531.0,481,1132,236.1,dup
0.0,4038,2,2019.0,2019.0,1643,2395,531.7,fwrite
0.0,2825,1,2825.0,2825.0,2825,2825,0.0,bind
0.0,941,1,941.0,941.0,941,941,0.0,listen
0.0,300,10,30.0,20.0,20,110,28.3,fflush
