Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
6.394,1,6.394,6.394,6.394,6.394,0.000,[CUDA memcpy Device-to-Host]
1.580,2,0.790,0.790,0.058,1.522,1.036,[CUDA memcpy Host-to-Device]
