Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.6,96190978,6,16031829.7,486.0,251,96188884,39268776.5,cudaEventCreate
0.1,116798,3,38932.7,10350.0,4167,102281,54948.3,cudaMemcpy
0.1,84577,2,42288.5,42288.5,2885,81692,55725.0,cudaEventSynchronize
0.1,60955,3,20318.3,2726.0,1904,56325,31185.4,cudaMalloc
0.1,56745,3,18915.0,3326.0,1873,51546,28268.6,cudaFree
0.1,52157,1,52157.0,52157.0,52157,52157,0.0,cudaLaunchKernel
0.0,19296,6,3216.0,1402.5,1102,12273,4449.0,cudaEventRecord
0.0,2486,6,414.3,290.5,201,1062,328.1,cudaEventDestroy
0.0,1744,1,1744.0,1744.0,1744,1744,0.0,cuModuleGetLoadingMode
