Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
65.7,117793,2,58896.5,58896.5,1280,116513,81482.0,[CUDA memcpy Host-to-Device]
34.3,61472,1,61472.0,61472.0,61472,61472,0.0,[CUDA memcpy Device-to-Host]
