Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.5,91678566,6,15279761.0,510.5,310,91676223,37426470.0,cudaEventCreate
0.2,151182,3,50394.0,44914.0,4439,101829,48925.7,cudaMemcpy
0.1,84117,2,42058.5,42058.5,3336,80781,54761.9,cudaEventSynchronize
0.1,60744,3,20248.0,2825.0,1784,56135,31083.4,cudaMalloc
0.1,58429,1,58429.0,58429.0,58429,58429,0.0,cudaLaunchKernel
0.1,58398,3,19466.0,3446.0,1913,53039,29085.2,cudaFree
0.0,17422,6,2903.7,1427.5,1152,10139,3559.6,cudaEventRecord
0.0,2345,6,390.8,305.5,200,842,239.3,cudaEventDestroy
0.0,1793,1,1793.0,1793.0,1793,1793,0.0,cuModuleGetLoadingMode
