Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
97.3,117441,2,58720.5,58720.5,736,116705,82002.5,[CUDA memcpy Host-to-Device]
2.7,3201,1,3201.0,3201.0,3201,3201,0.0,[CUDA memcpy Device-to-Host]
