Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
97.3,94738201,6,15789700.2,496.0,220,94735676,38675471.6,cudaEventCreate
2.2,2178161,3,726053.7,107110.0,12454,2058597,1154986.5,cudaMemcpy
0.1,140141,3,46713.7,45254.0,6472,88415,40991.0,cudaFree
0.1,120423,3,40141.0,58288.0,3176,58959,32014.4,cudaMalloc
0.1,78866,2,39433.0,39433.0,1492,77374,53656.7,cudaEventSynchronize
0.1,54071,1,54071.0,54071.0,54071,54071,0.0,cudaLaunchKernel
0.0,21440,6,3573.3,1878.5,1112,10519,3632.4,cudaEventRecord
0.0,2935,6,489.2,331.0,280,962,287.0,cudaEventDestroy
0.0,1553,1,1553.0,1553.0,1553,1553,0.0,cuModuleGetLoadingMode
