Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.6,96459859,6,16076643.2,496.0,240,96457335,39378336.0,cudaEventCreate
0.1,123330,3,41110.0,18234.0,4168,100928,52279.1,cudaMemcpy
0.1,85239,2,42619.5,42619.5,2815,82424,56292.1,cudaEventSynchronize
0.1,62297,3,20765.7,2775.0,1944,57578,31883.1,cudaMalloc
0.1,56295,3,18765.0,3286.0,1653,51356,28236.4,cudaFree
0.1,55323,1,55323.0,55323.0,55323,55323,0.0,cudaLaunchKernel
0.0,17842,6,2973.7,1412.5,1142,10820,3853.5,cudaEventRecord
0.0,2654,6,442.3,336.0,190,1142,354.2,cudaEventDestroy
0.0,1923,1,1923.0,1923.0,1923,1923,0.0,cuModuleGetLoadingMode
