Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.6,93065123,6,15510853.8,466.0,241,93062868,37992572.6,cudaEventCreate
0.1,121668,3,40556.0,14427.0,4459,102782,54119.3,cudaMemcpy
0.1,83656,2,41828.0,41828.0,2745,80911,55271.7,cudaEventSynchronize
0.1,62125,3,20708.3,2755.0,1833,57537,31897.9,cudaMalloc
0.1,57186,3,19062.0,3015.0,1883,52288,28780.1,cudaFree
0.1,51987,1,51987.0,51987.0,51987,51987,0.0,cudaLaunchKernel
0.0,17533,6,2922.2,1482.5,1072,10309,3636.4,cudaEventRecord
0.0,2386,6,397.7,326.0,180,822,226.0,cudaEventDestroy
0.0,2114,1,2114.0,2114.0,2114,2114,0.0,cuModuleGetLoadingMode
