Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
95.5,3087503,1,3087503.0,3087503.0,3087503,3087503,0.0,[CUDA memcpy Device-to-Host]
4.5,144865,2,72432.5,72432.5,28160,116705,62610.8,[CUDA memcpy Host-to-Device]
