Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
1.530,2,0.765,0.765,0.007,1.522,1.071,[CUDA memcpy Host-to-Device]
0.799,1,0.799,0.799,0.799,0.799,0.000,[CUDA memcpy Device-to-Host]
