Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.1,263997875,11,23999806.8,7042005.0,1302,191496725,56565108.0,poll
23.8,84977289,501,169615.3,8576.0,551,12003513,719663.3,ioctl
0.7,2496605,496,5033.5,1603.0,571,944720,52953.4,read
0.5,1871198,25,74847.9,5611.0,4118,1358341,269243.8,mmap64
0.4,1598139,1,1598139.0,1598139.0,1598139,1598139,0.0,fopen64
0.1,273349,9,30372.1,34744.0,11842,43752,12156.3,sem_timedwait
0.1,246715,43,5737.6,5270.0,3497,10519,1536.9,open64
0.1,207817,40,5195.4,3671.5,1793,20268,3840.5,fopen
0.0,133058,13,10235.2,4048.0,1663,77735,20449.2,mmap
0.0,131465,3,43821.7,37870.0,31880,61715,15782.9,pthread_create
0.0,92181,34,2711.2,891.0,741,55063,9270.0,fclose
0.0,88855,1,88855.0,88855.0,88855,88855,0.0,pthread_cond_wait
0.0,59352,50,1187.0,30.0,20,57918,8186.7,fgets
0.0,39139,57,686.6,642.0,471,2144,237.2,fcntl
0.0,33402,6,5567.0,5365.0,3276,9207,2062.9,open
0.0,18704,11,1700.4,1703.0,612,2815,559.4,write
0.0,17162,2,8581.0,8581.0,3807,13355,6751.5,socket
0.0,16852,3,5617.3,6873.0,2715,7264,2521.1,pipe2
0.0,15018,4,3754.5,3657.0,2945,4759,900.0,munmap
0.0,11341,1,11341.0,11341.0,11341,11341,0.0,connect
0.0,8056,3,2685.3,1964.0,1283,4809,1870.4,pthread_cond_broadcast
0.0,4238,7,605.4,561.0,471,892,144.8,dup
0.0,4158,2,2079.0,2079.0,1703,2455,531.7,fwrite
0.0,3106,1,3106.0,3106.0,3106,3106,0.0,bind
0.0,882,1,882.0,882.0,882,882,0.0,listen
0.0,353,10,35.3,25.5,20,130,33.6,fflush
