Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.1,262716953,11,23883359.4,7611737.0,1323,185526299,54663170.2,poll
25.9,94441575,496,190406.4,8571.0,531,12153192,912666.0,ioctl
0.6,2297053,496,4631.2,1703.0,932,873167,45923.2,read
0.5,1859853,25,74394.1,6332.0,3336,1357390,268989.6,mmap64
0.4,1432059,1,1432059.0,1432059.0,1432059,1432059,0.0,fopen64
0.1,379789,9,42198.8,37029.0,24235,96029,23583.9,sem_timedwait
0.1,246312,43,5728.2,5330.0,3487,10038,1463.7,open64
0.1,212164,40,5304.1,3617.0,1853,22391,4226.5,fopen
0.0,134471,3,44823.7,36889.0,34835,62747,15556.0,pthread_create
0.0,131054,13,10081.1,4608.0,1703,72345,18878.2,mmap
0.0,92402,1,92402.0,92402.0,92402,92402,0.0,pthread_cond_wait
0.0,80053,34,2354.5,962.0,732,41898,7017.7,fclose
0.0,62305,50,1246.1,30.0,20,60834,8599.0,fgets
0.0,38783,57,680.4,651.0,461,1403,185.5,fcntl
0.0,33812,6,5635.3,5480.0,3266,9517,2159.3,open
0.0,19055,11,1732.3,1794.0,601,2956,619.5,write
0.0,18505,2,9252.5,9252.5,3717,14788,7828.4,socket
0.0,16661,3,5553.7,6843.0,2685,7133,2488.6,pipe2
0.0,11722,1,11722.0,11722.0,11722,11722,0.0,connect
0.0,10889,3,3629.7,3897.0,2825,4167,709.8,munmap
0.0,8024,3,2674.7,1834.0,1372,4818,1870.5,pthread_cond_broadcast
0.0,5460,1,5460.0,5460.0,5460,5460,0.0,bind
0.0,4688,7,669.7,561.0,511,1032,203.1,dup
0.0,4138,2,2069.0,2069.0,1683,2455,545.9,fwrite
0.0,861,1,861.0,861.0,861,861,0.0,listen
0.0,241,10,24.1,20.0,20,50,9.6,fflush
