Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.1,91714056,6,15285676.0,431.0,291,91711590,37440898.5,cudaEventCreate
3.4,3274283,3,1091427.7,99917.0,17442,3156924,1789247.6,cudaMemcpy
0.2,170378,3,56792.7,47489.0,9157,113732,52904.6,cudaFree
0.1,127177,3,42392.3,60934.0,3206,63037,33952.6,cudaMalloc
0.1,83135,2,41567.5,41567.5,2675,80460,55002.3,cudaEventSynchronize
0.1,56906,1,56906.0,56906.0,56906,56906,0.0,cudaLaunchKernel
0.0,20958,6,3493.0,1843.0,1172,10730,3688.5,cudaEventRecord
0.0,3475,6,579.2,410.0,220,1142,371.5,cudaEventDestroy
0.0,1784,1,1784.0,1784.0,1784,1784,0.0,cuModuleGetLoadingMode
