Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.5,88998810,6,14833135.0,370.0,230,88996869,36332661.1,cudaEventCreate
0.1,129963,3,43321.0,10039.0,4238,115686,62737.0,cudaMemcpy
0.1,83916,2,41958.0,41958.0,3206,80710,54803.6,cudaEventSynchronize
0.1,58830,3,19610.0,2695.0,1703,54432,30160.8,cudaMalloc
0.1,55714,3,18571.3,3356.0,1884,50474,27638.3,cudaFree
0.1,52808,1,52808.0,52808.0,52808,52808,0.0,cudaLaunchKernel
0.0,17453,6,2908.8,1493.0,1162,10330,3645.9,cudaEventRecord
0.0,2685,6,447.5,360.5,190,1052,309.7,cudaEventDestroy
0.0,1603,1,1603.0,1603.0,1603,1603,0.0,cuModuleGetLoadingMode
