Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.2,87268780,6,14544796.7,471.0,231,87266494,35626210.3,cudaEventCreate
0.3,307613,3,102537.7,114113.0,5119,188381,92177.7,cudaMemcpy
0.1,110587,3,36862.3,47709.0,3126,59752,29830.6,cudaMalloc
0.1,107461,3,35820.3,51486.0,3757,52218,27770.1,cudaFree
0.1,81854,2,40927.0,40927.0,2956,78898,53699.1,cudaEventSynchronize
0.1,53670,1,53670.0,53670.0,53670,53670,0.0,cudaLaunchKernel
0.0,19615,6,3269.2,1542.5,1372,11672,4124.4,cudaEventRecord
0.0,2685,6,447.5,386.0,281,801,190.7,cudaEventDestroy
0.0,1613,1,1613.0,1613.0,1613,1613,0.0,cuModuleGetLoadingMode
