Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.3,264525355,11,24047759.5,6511276.0,1273,192219925,56784911.9,poll
23.6,85335608,501,170330.6,8946.0,491,12198356,721345.6,ioctl
1.8,6598159,496,13302.7,1633.0,1112,4519584,210165.7,read
0.5,1846842,25,73873.7,7084.0,3397,1347852,267061.3,mmap64
0.4,1351219,1,1351219.0,1351219.0,1351219,1351219,0.0,fopen64
0.1,317190,9,35243.3,38141.0,21730,45856,7735.7,sem_timedwait
0.1,245588,43,5711.3,5190.0,3246,12403,1783.0,open64
0.1,212080,40,5302.0,3592.0,1834,21770,4216.2,fopen
0.0,129711,13,9977.8,3887.0,1693,70411,18376.7,mmap
0.0,127569,3,42523.0,35637.0,27652,64280,19260.5,pthread_create
0.0,95873,34,2819.8,846.5,701,57958,9766.9,fclose
0.0,75381,1,75381.0,75381.0,75381,75381,0.0,pthread_cond_wait
0.0,54300,50,1086.0,30.0,20,53008,7492.7,fgets
0.0,38343,57,672.7,631.0,461,1533,184.4,fcntl
0.0,32230,6,5371.7,5339.5,2995,9037,2059.1,open
0.0,17613,3,5871.0,6923.0,2505,8185,2982.6,pipe2
0.0,15921,2,7960.5,7960.5,3888,12033,5759.4,socket
0.0,13496,11,1226.9,1192.0,511,2414,550.6,write
0.0,11541,1,11541.0,11541.0,11541,11541,0.0,connect
0.0,11181,3,3727.0,3998.0,2925,4258,706.6,munmap
0.0,7384,3,2461.3,1523.0,1182,4679,1928.1,pthread_cond_broadcast
0.0,4549,7,649.9,531.0,491,1042,218.3,dup
0.0,3847,2,1923.5,1923.5,1653,2194,382.5,fwrite
0.0,2795,1,2795.0,2795.0,2795,2795,0.0,bind
0.0,972,1,972.0,972.0,972,972,0.0,listen
0.0,280,10,28.0,30.0,20,50,9.2,fflush
