Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.1,263434522,11,23948592.9,7550834.0,992,186890261,55087736.5,poll
24.9,89616256,496,180677.9,8997.0,531,12229514,815493.6,ioctl
0.8,2876710,496,5799.8,1663.0,842,1430957,69169.2,read
0.5,1863197,25,74527.9,5831.0,3547,1359724,269546.4,mmap64
0.3,1164130,1,1164130.0,1164130.0,1164130,1164130,0.0,fopen64
0.1,338461,9,37606.8,35607.0,24736,49782,7341.0,sem_timedwait
0.1,245980,43,5720.5,5129.0,3547,13926,1813.2,open64
0.1,213911,40,5347.8,3752.0,1814,21370,4116.3,fopen
0.0,169124,3,56374.7,53199.0,51596,64329,6935.1,pthread_create
0.0,128538,13,9887.5,3907.0,1693,72505,19008.4,mmap
0.0,95776,34,2816.9,882.0,731,59110,9964.8,fclose
0.0,63458,1,63458.0,63458.0,63458,63458,0.0,pthread_cond_wait
0.0,59292,50,1185.8,35.5,20,57267,8092.9,fgets
0.0,38310,57,672.1,621.0,470,1843,235.1,fcntl
0.0,34213,6,5702.2,5540.0,3567,9668,2133.8,open
0.0,19216,11,1746.9,1784.0,581,2294,493.2,write
0.0,15299,2,7649.5,7649.5,3947,11352,5236.1,socket
0.0,15228,3,5076.0,5580.0,2555,7093,2310.6,pipe2
0.0,14528,4,3632.0,3637.5,2895,4358,626.2,munmap
0.0,11762,1,11762.0,11762.0,11762,11762,0.0,connect
0.0,7034,3,2344.7,2024.0,1994,3016,581.6,pthread_cond_broadcast
0.0,4560,7,651.4,541.0,471,992,208.7,dup
0.0,4309,2,2154.5,2154.5,1704,2605,637.1,fwrite
0.0,2975,1,2975.0,2975.0,2975,2975,0.0,bind
0.0,1142,1,1142.0,1142.0,1142,1142,0.0,listen
0.0,320,10,32.0,20.0,20,120,31.2,fflush
