Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
1.598,1,1.598,1.598,1.598,1.598,0.000,[CUDA memcpy Device-to-Host]
1.537,2,0.768,0.768,0.014,1.522,1.066,[CUDA memcpy Host-to-Device]
