Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.3,89955025,6,14992504.2,445.5,220,89952942,36722964.7,cudaEventCreate
0.2,224820,3,74940.0,104796.0,4669,115355,61085.0,cudaMemcpy
0.1,109365,3,36455.0,49733.0,3477,56155,28739.7,cudaFree
0.1,102932,3,34310.7,45876.0,2775,54281,27632.1,cudaMalloc
0.1,85138,2,42569.0,42569.0,3045,82093,55895.4,cudaEventSynchronize
0.1,54332,1,54332.0,54332.0,54332,54332,0.0,cudaLaunchKernel
0.0,17482,6,2913.7,1337.0,1142,10360,3664.2,cudaEventRecord
0.0,2997,6,499.5,351.0,201,1353,434.0,cudaEventDestroy
0.0,1673,1,1673.0,1673.0,1673,1673,0.0,cuModuleGetLoadingMode
