Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.9,263416777,11,23946979.7,7577574.0,1312,185509779,54663075.0,poll
26.1,95675922,496,192895.0,10129.0,511,12153193,832562.2,ioctl
0.7,2470355,496,4980.6,1713.0,421,1020773,52103.7,read
0.5,1888042,25,75521.7,6071.0,4569,1364774,270551.7,mmap64
0.5,1749732,1,1749732.0,1749732.0,1749732,1749732,0.0,fopen64
0.1,251499,9,27944.3,26269.0,10159,45354,13051.3,sem_timedwait
0.1,247583,43,5757.7,5490.0,3436,11030,1426.0,open64
0.1,210723,40,5268.1,3646.5,1843,18484,4008.6,fopen
0.0,138138,13,10626.0,4118.0,1784,73196,19251.6,mmap
0.0,127016,3,42338.7,38462.0,37860,50694,7242.2,pthread_create
0.0,86852,1,86852.0,86852.0,86852,86852,0.0,pthread_cond_wait
0.0,73197,34,2152.9,871.5,721,36157,6038.4,fclose
0.0,55183,50,1103.7,30.0,20,53820,7607.4,fgets
0.0,37790,57,663.0,661.0,431,1212,131.8,fcntl
0.0,32261,6,5376.8,5149.5,3056,9147,2080.0,open
0.0,15719,3,5239.7,5961.0,2645,7113,2319.7,pipe2
0.0,15117,2,7558.5,7558.5,4227,10890,4711.5,socket
0.0,14527,3,4842.3,3937.0,3006,7584,2419.6,munmap
0.0,13144,11,1194.9,1242.0,591,1814,427.2,write
0.0,9137,1,9137.0,9137.0,9137,9137,0.0,connect
0.0,7404,3,2468.0,1383.0,1352,4669,1906.2,pthread_cond_broadcast
0.0,4217,2,2108.5,2108.5,1753,2464,502.8,fwrite
0.0,4117,7,588.1,571.0,471,891,150.0,dup
0.0,2956,1,2956.0,2956.0,2956,2956,0.0,bind
0.0,1162,1,1162.0,1162.0,1162,1162,0.0,listen
0.0,242,10,24.2,20.0,20,40,7.0,fflush
