Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.4,274406251,11,24946022.8,7295137.0,952,197874365,58340569.8,poll
24.7,92245825,501,184123.4,8546.0,521,12201873,874051.2,ioctl
0.5,2011682,496,4055.8,1713.0,882,620126,35670.3,read
0.5,1861532,25,74461.3,5570.0,3307,1362630,270161.8,mmap64
0.4,1644635,1,1644635.0,1644635.0,1644635,1644635,0.0,fopen64
0.1,406728,9,45192.0,34735.0,25838,119523,28518.4,sem_timedwait
0.1,244164,43,5678.2,5280.0,3436,9598,1417.9,open64
0.1,214901,40,5372.5,3641.5,1804,19917,4059.3,fopen
0.0,151562,3,50520.7,38011.0,30246,83305,28656.3,pthread_create
0.0,132177,14,9441.2,3611.5,1663,74229,18791.4,mmap
0.0,96749,34,2845.6,887.0,691,57597,9702.7,fclose
0.0,58418,50,1168.4,30.0,20,56936,8047.7,fgets
0.0,46436,1,46436.0,46436.0,46436,46436,0.0,pthread_cond_wait
0.0,38908,57,682.6,641.0,450,1663,189.8,fcntl
0.0,33492,6,5582.0,5400.0,3276,8546,1801.1,open
0.0,22301,5,4460.2,4328.0,2886,6792,1435.6,munmap
0.0,18225,11,1656.8,1623.0,641,2555,526.4,write
0.0,17743,3,5914.3,7013.0,3376,7354,2204.9,pipe2
0.0,16451,2,8225.5,8225.5,3978,12473,6006.9,socket
0.0,11151,1,11151.0,11151.0,11151,11151,0.0,connect
0.0,6373,3,2124.3,1423.0,1413,3537,1223.4,pthread_cond_broadcast
0.0,4438,2,2219.0,2219.0,1823,2615,560.0,fwrite
0.0,4348,7,621.1,551.0,471,1132,233.4,dup
0.0,2725,1,2725.0,2725.0,2725,2725,0.0,bind
0.0,941,1,941.0,941.0,941,941,0.0,listen
0.0,311,10,31.1,20.0,20,110,28.1,fflush
