Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.6,91822236,6,15303706.0,506.0,250,91819871,37485112.3,cudaEventCreate
0.1,129151,3,43050.3,27472.0,4298,97381,48457.5,cudaMemcpy
0.1,85659,2,42829.5,42829.5,2995,82664,56334.5,cudaEventSynchronize
0.1,61704,3,20568.0,2795.0,1733,57176,31707.9,cudaMalloc
0.1,56545,3,18848.3,3106.0,1703,51736,28490.2,cudaFree
0.1,55424,1,55424.0,55424.0,55424,55424,0.0,cudaLaunchKernel
0.0,18046,6,3007.7,1372.5,1103,10881,3877.0,cudaEventRecord
0.0,2583,6,430.5,325.0,230,952,271.4,cudaEventDestroy
0.0,1804,1,1804.0,1804.0,1804,1804,0.0,cuModuleGetLoadingMode
