Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.0,263665574,11,23969597.6,6586176.0,1463,191456002,56551852.4,poll
23.9,85072185,501,169804.8,8886.0,511,12063184,712820.2,ioctl
0.7,2484628,496,5009.3,1643.0,1122,1019881,53307.3,read
0.5,1872059,1,1872059.0,1872059.0,1872059,1872059,0.0,fopen64
0.5,1870083,25,74803.3,5680.0,3747,1366336,270870.2,mmap64
0.1,345926,9,38436.2,35827.0,25367,51556,7856.3,sem_timedwait
0.1,247332,43,5751.9,5279.0,3466,10339,1523.3,open64
0.1,210646,40,5266.2,3666.5,1854,24495,4322.5,fopen
0.0,129983,13,9998.7,4017.0,1783,73738,19362.2,mmap
0.0,119573,1,119573.0,119573.0,119573,119573,0.0,pthread_cond_wait
0.0,119023,3,39674.3,38372.0,28944,51707,11437.2,pthread_create
0.0,75731,34,2227.4,936.5,711,38251,6404.8,fclose
0.0,56706,50,1134.1,30.0,20,55343,7822.8,fgets
0.0,38762,57,680.0,651.0,471,1522,177.9,fcntl
0.0,33323,6,5553.8,5260.0,3106,9568,2245.7,open
0.0,19986,11,1816.9,1763.0,541,2555,573.5,write
0.0,18565,3,6188.3,6402.0,2465,9698,3621.2,pipe2
0.0,16992,2,8496.0,8496.0,3687,13305,6801.0,socket
0.0,16471,4,4117.8,3957.5,2595,5961,1417.5,munmap
0.0,12072,1,12072.0,12072.0,12072,12072,0.0,connect
0.0,8976,3,2992.0,1903.0,1823,5250,1955.9,pthread_cond_broadcast
0.0,7864,7,1123.4,601.0,500,4218,1367.1,dup
0.0,5240,2,2620.0,2620.0,2295,2945,459.6,fwrite
0.0,3266,1,3266.0,3266.0,3266,3266,0.0,bind
0.0,1072,1,1072.0,1072.0,1072,1072,0.0,listen
0.0,300,10,30.0,20.0,20,110,28.3,fflush
