Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.5,86794704,6,14465784.0,450.5,291,86792530,35432724.5,cudaEventCreate
0.1,114464,3,38154.7,11702.0,4298,98464,52360.4,cudaMemcpy
0.1,86481,2,43240.5,43240.5,2845,83636,57127.9,cudaEventSynchronize
0.1,65413,3,21804.3,5751.0,1794,57868,31294.7,cudaMalloc
0.1,56607,3,18869.0,3086.0,1924,51597,28349.2,cudaFree
0.1,51186,1,51186.0,51186.0,51186,51186,0.0,cudaLaunchKernel
0.0,17416,6,2902.7,1413.0,1173,10460,3710.7,cudaEventRecord
0.0,2835,6,472.5,390.5,201,992,286.7,cudaEventDestroy
0.0,1512,1,1512.0,1512.0,1512,1512,0.0,cuModuleGetLoadingMode
