Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.5,92028318,6,15338053.0,455.5,300,92026126,37569329.6,cudaEventCreate
0.2,169866,3,56622.0,64881.0,4969,100016,48058.7,cudaMemcpy
0.1,84517,2,42258.5,42258.5,3346,81171,55030.6,cudaEventSynchronize
0.1,63748,3,21249.3,2865.0,1763,59120,32801.6,cudaMalloc
0.1,61655,3,20551.7,3927.0,1914,55814,30554.7,cudaFree
0.1,52869,1,52869.0,52869.0,52869,52869,0.0,cudaLaunchKernel
0.0,17423,6,2903.8,1322.5,1133,10339,3660.2,cudaEventRecord
0.0,2606,6,434.3,341.0,200,872,239.3,cudaEventDestroy
0.0,1853,1,1853.0,1853.0,1853,1853,0.0,cuModuleGetLoadingMode
