Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
91.8,117569,2,58784.5,58784.5,768,116801,82047.7,[CUDA memcpy Host-to-Device]
8.2,10528,1,10528.0,10528.0,10528,10528,0.0,[CUDA memcpy Device-to-Host]
