Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.9,260472800,11,23679345.5,7073514.0,1402,183667684,54116042.1,poll
25.0,89450343,501,178543.6,8526.0,490,12000928,844232.9,ioctl
0.6,2064584,496,4162.5,1673.0,521,597423,37675.4,read
0.6,2042788,1,2042788.0,2042788.0,2042788,2042788,0.0,fopen64
0.5,1852903,25,74116.1,5210.0,3828,1358642,269326.5,mmap64
0.1,372123,9,41347.0,33352.0,11351,114974,30057.8,sem_timedwait
0.1,235702,43,5481.4,5110.0,3376,9899,1354.0,open64
0.1,205292,40,5132.3,3601.5,1873,19867,3906.7,fopen
0.0,131406,3,43802.0,36338.0,30818,64250,17922.3,pthread_create
0.0,128030,13,9848.5,4178.0,1733,72756,19060.0,mmap
0.0,114975,1,114975.0,114975.0,114975,114975,0.0,pthread_cond_wait
0.0,94311,34,2773.9,882.0,712,58039,9784.2,fclose
0.0,56844,50,1136.9,30.0,20,55444,7836.9,fgets
0.0,38840,57,681.4,632.0,441,1833,247.4,fcntl
0.0,33624,6,5604.0,5225.0,3066,9898,2349.5,open
0.0,18986,2,9493.0,9493.0,4048,14938,7700.4,socket
0.0,18165,3,6055.0,7605.0,2886,7674,2744.7,pipe2
0.0,13284,11,1207.6,1192.0,521,2554,588.9,write
0.0,11982,1,11982.0,11982.0,11982,11982,0.0,connect
0.0,11121,3,3707.0,3837.0,3206,4078,450.3,munmap
0.0,8206,3,2735.3,1834.0,1233,5139,2103.2,pthread_cond_broadcast
0.0,4349,7,621.3,541.0,471,1183,255.4,dup
0.0,3907,2,1953.5,1953.5,1653,2254,425.0,fwrite
0.0,2866,1,2866.0,2866.0,2866,2866,0.0,bind
0.0,821,1,821.0,821.0,821,821,0.0,listen
0.0,341,10,34.1,20.0,20,131,34.4,fflush
