Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
93.6,1979658,1,1979658.0,1979658.0,1979658,1979658,0.0,[CUDA memcpy Device-to-Host]
6.4,134945,2,67472.5,67472.5,18464,116481,69308.5,[CUDA memcpy Host-to-Device]
