Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
25.574,1,25.574,25.574,25.574,25.574,0.000,[CUDA memcpy Device-to-Host]
1.753,2,0.876,0.876,0.230,1.522,0.914,[CUDA memcpy Host-to-Device]
