Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.1,87538793,6,14589798.8,536.0,321,87536167,35736276.1,cudaEventCreate
0.5,411588,3,137196.0,99105.0,5821,306662,153995.2,cudaMemcpy
0.1,113271,3,37757.0,52748.0,2675,57848,30488.7,cudaMalloc
0.1,94546,3,31515.3,38532.0,3747,52267,25009.5,cudaFree
0.1,85269,2,42634.5,42634.5,3046,82223,55986.6,cudaEventSynchronize
0.1,53019,1,53019.0,53019.0,53019,53019,0.0,cudaLaunchKernel
0.0,17922,6,2987.0,1542.5,1192,10209,3557.3,cudaEventRecord
0.0,2463,6,410.5,320.0,221,881,248.8,cudaEventDestroy
0.0,1483,1,1483.0,1483.0,1483,1483,0.0,cuModuleGetLoadingMode
