Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
1.523,2,0.761,0.761,0.000,1.522,1.076,[CUDA memcpy Host-to-Device]
0.032,1,0.032,0.032,0.032,0.032,0.000,[CUDA memcpy Device-to-Host]
